userId,group,planetNo,attemptNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,oldPred,newPred
d4b7e169f1d0460a957ab481284a81c9,0,1,0,2,3,3,3,2,2,3,3,1,2,0,1
d4b7e169f1d0460a957ab481284a81c9,0,2,0,3,3,2,3,3,3,3,2,2,3,0,1
2aa3c24fbe2f4c46a3464c74ae6c6851,0,1,0,2,3,3,3,2,2,3,3,1,2,0,1
2aa3c24fbe2f4c46a3464c74ae6c6851,0,2,0,2,3,2,3,2,2,3,2,2,2,0,1
2aa3c24fbe2f4c46a3464c74ae6c6851,0,3,0,0,3,0,3,0,0,3,0,1,0,0,1
0e0a8bcaad18490caf25c936cf863f03,1,1,0,2,3,3,3,2,2,3,3,1,2,0,1
0e0a8bcaad18490caf25c936cf863f03,1,2,0,2,3,2,3,2,2,3,2,2,2,0,1
0e0a8bcaad18490caf25c936cf863f03,1,3,0,0,3,0,3,0,0,3,0,1,0,0,1
205f1316137942108eecc202c837a1f2,0,1,0,2,3,3,3,2,2,3,3,1,2,0,1
205f1316137942108eecc202c837a1f2,0,2,0,2,3,2,3,2,2,3,2,2,2,0,1
66c2e58e71b141e7bafab8f1b9364850,1,1,0,2,3,3,3,2,2,3,3,1,2,0,1
66c2e58e71b141e7bafab8f1b9364850,1,2,0,2,3,2,3,2,2,3,2,2,2,0,1
66c2e58e71b141e7bafab8f1b9364850,1,3,0,0,3,0,3,0,0,3,0,1,0,0,1
4acf5a0f0c4c4818a579f726dcc8239a,1,1,0,2,3,3,3,2,2,3,3,1,2,0,1
33a984a85358432e9f19212428364358,0,1,0,2,3,3,3,2,2,3,3,1,2,0,1
33a984a85358432e9f19212428364358,0,2,0,2,3,2,3,2,2,3,2,2,2,0,1
33a984a85358432e9f19212428364358,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0
33a984a85358432e9f19212428364358,0,3,0,0,3,0,3,0,0,3,0,1,0,0,1
a8a067fe89ef4332bab44c56e264f570,0,1,0,2,1,3,1,2,2,1,3,1,2,0,0
a8a067fe89ef4332bab44c56e264f570,0,1,0,2,3,3,3,2,2,3,3,1,2,0,1
a8a067fe89ef4332bab44c56e264f570,0,2,0,2,3,2,3,2,2,3,2,2,2,0,1
a8a067fe89ef4332bab44c56e264f570,0,3,0,0,3,0,3,0,0,3,0,1,0,0,1
c3b44fad904e45289689a25d6f6842ff,1,1,0,3,1,2,1,2,0,0,0,0,0,0,0
c3b44fad904e45289689a25d6f6842ff,1,1,0,3,3,2,1,3,2,3,2,1,3,0,1
c3b44fad904e45289689a25d6f6842ff,1,2,0,2,2,1,2,2,0,0,0,0,0,0,0
c3b44fad904e45289689a25d6f6842ff,1,2,0,2,3,1,2,2,2,3,1,2,2,0,1
c3b44fad904e45289689a25d6f6842ff,1,3,0,2,3,1,1,3,2,3,1,1,1,0,1
c7f1fff498844470b9264747df560c6e,0,1,0,3,2,3,2,3,3,2,3,2,3,0,0
c7f1fff498844470b9264747df560c6e,0,1,0,2,2,2,2,2,0,0,0,0,0,0,0
c7f1fff498844470b9264747df560c6e,0,1,0,2,3,3,2,3,2,3,3,1,2,0,1
c7f1fff498844470b9264747df560c6e,0,2,0,3,2,2,2,2,0,0,0,0,0,0,0
c7f1fff498844470b9264747df560c6e,0,2,0,1,2,1,2,4,0,0,0,0,0,0,0
c7f1fff498844470b9264747df560c6e,0,2,0,1,2,1,2,4,0,0,0,0,0,0,0
c7f1fff498844470b9264747df560c6e,0,3,0,1,1,1,2,1,0,0,0,0,0,0,0
c7f1fff498844470b9264747df560c6e,0,3,0,1,2,1,2,1,0,0,0,0,0,0,0
c7f1fff498844470b9264747df560c6e,0,3,0,1,2,1,1,1,0,0,0,0,0,0,0
404f3acd481e4d23bd810a88c949808e,0,1,0,2,1,3,1,2,2,1,3,1,2,0,0
404f3acd481e4d23bd810a88c949808e,0,1,0,2,0,4,1,2,2,0,4,1,2,0,0
404f3acd481e4d23bd810a88c949808e,0,1,0,2,1,5,3,4,2,1,5,3,4,0,0
404f3acd481e4d23bd810a88c949808e,0,2,0,3,1,2,2,4,0,0,0,0,0,0,0
404f3acd481e4d23bd810a88c949808e,0,2,0,2,1,2,0,4,0,0,0,0,0,0,0
404f3acd481e4d23bd810a88c949808e,0,2,0,2,1,2,0,4,0,0,0,0,0,0,0
404f3acd481e4d23bd810a88c949808e,0,3,0,1,3,1,0,0,1,3,1,0,0,0,1
ecbb71c6c2744d30825a234d7070aca1,1,1,0,2,2,3,3,2,2,2,3,3,2,0,0
ecbb71c6c2744d30825a234d7070aca1,1,1,0,6,6,6,6,6,6,3,6,1,6,0,1
ecbb71c6c2744d30825a234d7070aca1,1,2,0,2,1,4,2,1,2,1,4,2,1,0,0
ecbb71c6c2744d30825a234d7070aca1,1,2,0,2,1,2,2,1,0,0,0,0,0,0,0
ecbb71c6c2744d30825a234d7070aca1,1,2,0,3,1,2,1,1,0,0,0,0,0,0,0
ecbb71c6c2744d30825a234d7070aca1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ecbb71c6c2744d30825a234d7070aca1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ecbb71c6c2744d30825a234d7070aca1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
594c93d1ad344f94bd7e020b7a29f430,1,1,0,6,6,6,6,6,6,3,6,1,6,0,1
594c93d1ad344f94bd7e020b7a29f430,1,2,0,3,1,2,1,1,0,0,0,0,0,0,0
594c93d1ad344f94bd7e020b7a29f430,1,2,0,4,0,3,0,0,4,0,3,0,0,0,0
594c93d1ad344f94bd7e020b7a29f430,1,2,0,0,3,5,3,1,0,3,2,2,1,0,1
5f566114bf654915a639888969c3520e,1,1,0,4,3,3,4,5,4,3,3,1,2,0,1
5f566114bf654915a639888969c3520e,1,2,0,0,3,2,1,2,0,3,2,1,2,0,1
5f566114bf654915a639888969c3520e,1,3,0,2,2,4,1,1,2,2,4,1,1,0,0
5f566114bf654915a639888969c3520e,1,3,0,1,1,4,1,2,1,1,4,1,2,0,0
5f566114bf654915a639888969c3520e,1,3,0,3,0,3,3,4,3,0,3,3,4,0,0
8adf9b102aab44d3b3e44730b79f8aec,0,1,0,2,3,1,3,1,2,3,1,1,1,0,1
8adf9b102aab44d3b3e44730b79f8aec,0,2,0,0,5,4,1,1,0,3,4,1,1,0,1
8adf9b102aab44d3b3e44730b79f8aec,0,3,0,2,2,1,4,6,0,0,0,0,0,0,0
8adf9b102aab44d3b3e44730b79f8aec,0,3,0,2,2,1,3,5,0,0,0,0,0,0,0
8adf9b102aab44d3b3e44730b79f8aec,0,3,0,2,2,1,3,5,0,0,0,0,0,0,0
706f882d3a5743949cb46494091dd996,0,1,0,1,1,1,3,1,0,0,0,0,0,0,0
706f882d3a5743949cb46494091dd996,0,1,0,2,3,1,3,2,2,3,1,1,2,0,1
706f882d3a5743949cb46494091dd996,0,2,0,1,2,3,2,1,1,2,3,2,1,0,0
706f882d3a5743949cb46494091dd996,0,2,0,1,3,5,2,1,1,3,2,2,1,0,1
706f882d3a5743949cb46494091dd996,0,3,0,5,2,1,1,1,0,0,0,0,0,0,0
706f882d3a5743949cb46494091dd996,0,3,0,5,2,1,2,1,0,0,0,0,0,0,0
706f882d3a5743949cb46494091dd996,0,3,0,5,2,2,2,5,0,0,0,0,0,0,0
5df8358b45b140f390a887664a033566,0,1,0,1,2,2,2,1,0,0,0,0,0,0,0
5df8358b45b140f390a887664a033566,0,1,0,4,4,4,4,4,4,3,4,1,4,0,1
5df8358b45b140f390a887664a033566,0,2,0,0,2,2,2,2,0,0,0,0,0,0,0
5df8358b45b140f390a887664a033566,0,2,0,1,3,3,3,1,1,3,2,2,1,0,1
5df8358b45b140f390a887664a033566,0,3,0,4,1,1,1,2,0,0,0,0,0,0,0
5df8358b45b140f390a887664a033566,0,3,0,1,1,1,2,4,0,0,0,0,0,0,0
5df8358b45b140f390a887664a033566,0,3,0,5,2,1,1,0,0,0,0,0,0,0,0
ff93de208dac4cbcb68509ca045a6a4a,0,1,0,2,1,3,1,2,2,1,3,1,2,0,0
ff93de208dac4cbcb68509ca045a6a4a,0,1,0,2,4,3,1,2,2,3,3,1,2,0,1
ff93de208dac4cbcb68509ca045a6a4a,0,2,0,3,1,2,2,3,0,0,0,0,0,0,0
ff93de208dac4cbcb68509ca045a6a4a,0,2,0,3,3,2,3,3,3,3,2,2,3,0,1
ff93de208dac4cbcb68509ca045a6a4a,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ff93de208dac4cbcb68509ca045a6a4a,0,3,0,0,2,0,1,3,0,0,0,0,0,0,0
ff93de208dac4cbcb68509ca045a6a4a,0,3,0,0,2,0,2,2,0,0,0,0,0,0,0
1de6c6e9c2f5439f9949ef206c1ac00c,0,1,0,2,1,3,1,2,2,1,3,1,2,0,0
9f15acba527c4bf98e99b6348176c81f,0,1,0,3,2,3,2,3,3,2,3,2,3,0,0
9f15acba527c4bf98e99b6348176c81f,0,1,0,2,3,2,3,4,2,3,2,1,2,0,1
bcdfd628f1a64a839ab3b25ec47700b3,0,1,0,2,1,3,3,2,2,1,3,3,2,0,0
bcdfd628f1a64a839ab3b25ec47700b3,0,1,0,2,2,3,1,2,2,2,3,1,2,0,0
bcdfd628f1a64a839ab3b25ec47700b3,0,1,0,3,1,3,1,2,3,1,3,1,2,0,0
9f15acba527c4bf98e99b6348176c81f,0,2,0,0,2,4,3,0,0,2,4,3,0,0,0
bcdfd628f1a64a839ab3b25ec47700b3,0,2,0,3,1,2,2,4,0,0,0,0,0,0,0
9f15acba527c4bf98e99b6348176c81f,0,2,0,0,4,4,3,1,0,3,4,2,1,0,1
bcdfd628f1a64a839ab3b25ec47700b3,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0
bcdfd628f1a64a839ab3b25ec47700b3,0,2,0,0,2,0,2,4,0,0,0,0,0,0,0
bcdfd628f1a64a839ab3b25ec47700b3,0,3,0,2,2,1,1,2,0,0,0,0,0,0,0
9f15acba527c4bf98e99b6348176c81f,0,3,0,3,2,1,2,3,0,0,0,0,0,0,0
bcdfd628f1a64a839ab3b25ec47700b3,0,3,0,0,2,0,3,3,0,0,0,0,0,0,0
bcdfd628f1a64a839ab3b25ec47700b3,0,3,0,0,2,0,3,3,0,0,0,0,0,0,0
9f15acba527c4bf98e99b6348176c81f,0,3,0,3,3,1,2,4,3,3,1,1,1,0,1
cf692e44b2c84ab39c6355eff6453770,0,1,0,2,1,3,1,2,2,1,3,1,2,0,0
4f656600ed3a42639494c5d976af5e42,0,1,0,2,1,3,1,2,2,1,3,1,2,0,0
4f656600ed3a42639494c5d976af5e42,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0
4f656600ed3a42639494c5d976af5e42,0,1,0,5,6,5,4,4,5,3,5,1,4,0,1
4f656600ed3a42639494c5d976af5e42,0,2,0,1,2,1,1,1,0,0,0,0,0,0,0
4f656600ed3a42639494c5d976af5e42,0,2,0,1,3,0,0,1,1,3,0,0,1,0,1
037b3c58ce1d4614b7bbc640eb48b44e,0,1,0,1,3,1,3,2,1,3,1,1,2,0,1
037b3c58ce1d4614b7bbc640eb48b44e,0,2,0,2,3,3,3,2,2,3,2,2,2,0,1
037b3c58ce1d4614b7bbc640eb48b44e,0,3,0,1,3,2,2,2,1,3,2,1,1,0,1
eea5121c0f2a4f7ab839eabe36b261d0,1,1,0,2,3,3,3,2,2,3,3,1,2,0,1
eea5121c0f2a4f7ab839eabe36b261d0,1,2,0,2,3,2,3,2,2,3,2,2,2,0,1
eea5121c0f2a4f7ab839eabe36b261d0,1,3,0,0,3,0,3,0,0,3,0,1,0,0,1
f61059ec9e474486ba2357fa70614c9b,1,1,0,2,3,2,3,2,2,3,2,1,2,0,1
f61059ec9e474486ba2357fa70614c9b,1,2,0,1,3,6,2,1,1,3,2,2,1,0,1
f61059ec9e474486ba2357fa70614c9b,1,3,0,6,2,2,3,6,0,0,0,0,0,0,0
f61059ec9e474486ba2357fa70614c9b,1,3,0,3,3,2,3,6,3,3,2,1,1,0,1
e5a4b0db1d0149be8e572968fa41ae91,1,1,0,1,3,1,3,1,1,3,1,1,1,0,1
e5a4b0db1d0149be8e572968fa41ae91,1,2,0,1,3,1,3,1,1,3,1,2,1,0,1
0e18bf6004e04c709a88b18d5cffa84b,1,1,0,2,3,3,3,2,2,3,3,1,2,0,1
0e18bf6004e04c709a88b18d5cffa84b,1,2,0,2,2,2,3,2,0,0,0,0,0,0,0
0e18bf6004e04c709a88b18d5cffa84b,1,2,0,2,3,2,3,2,2,3,2,2,2,0,1
0e18bf6004e04c709a88b18d5cffa84b,1,3,0,0,3,0,3,0,0,3,0,1,0,0,1
b1c7c59521ba4b098a9bd8a852970cdf,0,1,0,2,1,3,2,2,2,1,3,2,2,0,0
b1c7c59521ba4b098a9bd8a852970cdf,0,1,0,2,2,3,2,2,2,2,3,2,2,0,0
b1c7c59521ba4b098a9bd8a852970cdf,0,1,0,3,2,3,2,2,3,2,3,2,2,0,0
b1c7c59521ba4b098a9bd8a852970cdf,0,2,0,3,3,2,2,3,3,3,2,2,3,0,1
b1c7c59521ba4b098a9bd8a852970cdf,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0
b1c7c59521ba4b098a9bd8a852970cdf,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0
b1c7c59521ba4b098a9bd8a852970cdf,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0
5e9bd4cb7c2a4999a7a58b59e1f5cdb5,0,1,0,2,1,3,1,2,2,1,3,1,2,0,0
5e9bd4cb7c2a4999a7a58b59e1f5cdb5,0,1,0,6,2,3,2,4,6,2,3,2,4,0,0
5e9bd4cb7c2a4999a7a58b59e1f5cdb5,0,1,0,6,3,3,3,4,2,3,3,1,4,0,1
5e9bd4cb7c2a4999a7a58b59e1f5cdb5,0,2,0,3,1,2,2,2,0,0,0,0,0,0,0
5e9bd4cb7c2a4999a7a58b59e1f5cdb5,0,2,0,4,1,3,2,2,4,1,3,2,2,0,0
5e9bd4cb7c2a4999a7a58b59e1f5cdb5,0,2,0,3,1,3,2,3,3,1,3,2,3,0,0
5e9bd4cb7c2a4999a7a58b59e1f5cdb5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5e9bd4cb7c2a4999a7a58b59e1f5cdb5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5e9bd4cb7c2a4999a7a58b59e1f5cdb5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
df379dc8494d4c77b3eacac63b242adc,1,1,0,2,1,1,1,2,0,0,0,0,0,0,0
df379dc8494d4c77b3eacac63b242adc,1,1,0,2,3,1,2,2,2,3,1,1,2,0,1
df379dc8494d4c77b3eacac63b242adc,1,2,0,2,1,5,2,2,2,1,5,2,2,0,0
df379dc8494d4c77b3eacac63b242adc,1,2,0,2,3,5,2,2,2,3,2,2,2,0,1
df379dc8494d4c77b3eacac63b242adc,1,3,0,2,2,0,2,3,0,0,0,0,0,0,0
df379dc8494d4c77b3eacac63b242adc,1,3,0,2,3,0,2,3,2,3,0,1,1,0,1
e687336be1064313b93aff95a5094f99,0,1,0,2,3,2,3,2,2,3,2,1,2,0,1
e687336be1064313b93aff95a5094f99,0,2,0,2,4,3,3,1,2,3,3,2,1,0,1
e687336be1064313b93aff95a5094f99,0,3,0,2,2,1,2,2,0,0,0,0,0,0,0
e687336be1064313b93aff95a5094f99,0,3,0,3,3,1,3,3,3,3,1,1,1,0,1
1d6dd29df351458ca433950905020e71,0,1,0,2,2,3,2,2,2,2,3,2,2,0,0
1d6dd29df351458ca433950905020e71,0,1,0,2,3,3,3,2,2,3,3,1,2,0,1
1d6dd29df351458ca433950905020e71,0,2,0,1,3,2,3,1,1,3,2,2,1,0,1
1d6dd29df351458ca433950905020e71,0,3,0,1,3,2,3,1,1,3,2,1,1,0,1
beda834e03554565998d6267ad38285c,1,1,0,2,3,3,3,2,2,3,3,1,2,0,1
