userId,group,planetNo,attemptNo,timeAgreementScene,timeStartScene,timestableConfigScene,timestableScene
d4b7e169f1d0460a957ab481284a81c9,0,1,3,990,1072,-1,-1
d4b7e169f1d0460a957ab481284a81c9,0,1,0,990,1072,-1,-1
d4b7e169f1d0460a957ab481284a81c9,0,2,3,990,1072,-1,-1
d4b7e169f1d0460a957ab481284a81c9,0,2,0,990,1072,-1,-1
2aa3c24fbe2f4c46a3464c74ae6c6851,0,1,3,1849,893,-1,-1
2aa3c24fbe2f4c46a3464c74ae6c6851,0,1,0,1849,893,-1,-1
2aa3c24fbe2f4c46a3464c74ae6c6851,0,2,3,1849,893,-1,-1
2aa3c24fbe2f4c46a3464c74ae6c6851,0,2,0,1849,893,-1,-1
2aa3c24fbe2f4c46a3464c74ae6c6851,0,3,3,1849,893,-1,-1
2aa3c24fbe2f4c46a3464c74ae6c6851,0,3,0,1849,893,-1,-1
0e0a8bcaad18490caf25c936cf863f03,1,1,3,1586,4229,-1,-1
0e0a8bcaad18490caf25c936cf863f03,1,1,0,1586,4229,-1,-1
0e0a8bcaad18490caf25c936cf863f03,1,2,3,1586,4229,-1,-1
0e0a8bcaad18490caf25c936cf863f03,1,2,0,1586,4229,-1,-1
0e0a8bcaad18490caf25c936cf863f03,1,3,3,1586,4229,-1,-1
0e0a8bcaad18490caf25c936cf863f03,1,3,0,1586,4229,-1,-1
205f1316137942108eecc202c837a1f2,0,1,3,48530,1193,-1,-1
205f1316137942108eecc202c837a1f2,0,1,0,48530,1193,-1,-1
205f1316137942108eecc202c837a1f2,0,2,3,48530,1193,-1,-1
205f1316137942108eecc202c837a1f2,0,2,0,48530,1193,-1,-1
66c2e58e71b141e7bafab8f1b9364850,1,1,3,1179,1150,-1,-1
66c2e58e71b141e7bafab8f1b9364850,1,1,0,1179,1150,-1,-1
66c2e58e71b141e7bafab8f1b9364850,1,2,3,1179,1150,-1,-1
66c2e58e71b141e7bafab8f1b9364850,1,2,0,1179,1150,-1,-1
66c2e58e71b141e7bafab8f1b9364850,1,3,3,1179,1150,-1,-1
66c2e58e71b141e7bafab8f1b9364850,1,3,0,1179,1150,-1,-1
4acf5a0f0c4c4818a579f726dcc8239a,1,1,3,63338,1012,-1,-1
33a984a85358432e9f19212428364358,0,1,3,2690,2877,-1,-1
33a984a85358432e9f19212428364358,0,1,0,2690,2877,-1,-1
33a984a85358432e9f19212428364358,0,2,3,2690,2877,-1,-1
33a984a85358432e9f19212428364358,0,2,0,2690,2877,-1,-1
33a984a85358432e9f19212428364358,0,3,3,2690,2877,-1,-1
33a984a85358432e9f19212428364358,0,3,2,2690,2877,-1,-1
33a984a85358432e9f19212428364358,0,3,0,2690,2877,-1,-1
a8a067fe89ef4332bab44c56e264f570,0,1,3,12365,1203,-1,-1
a8a067fe89ef4332bab44c56e264f570,0,1,2,12365,1203,-1,-1
a8a067fe89ef4332bab44c56e264f570,0,1,0,12365,1203,-1,-1
a8a067fe89ef4332bab44c56e264f570,0,2,3,12365,1203,-1,-1
a8a067fe89ef4332bab44c56e264f570,0,2,0,12365,1203,-1,-1
a8a067fe89ef4332bab44c56e264f570,0,3,3,12365,1203,-1,-1
a8a067fe89ef4332bab44c56e264f570,0,3,0,12365,1203,-1,-1
c3b44fad904e45289689a25d6f6842ff,1,1,3,1079516,72166,-1,-1
c3b44fad904e45289689a25d6f6842ff,1,1,2,1079516,72166,-1,-1
c3b44fad904e45289689a25d6f6842ff,1,1,0,1079516,72166,-1,-1
c3b44fad904e45289689a25d6f6842ff,1,2,3,1079516,72166,-1,-1
c3b44fad904e45289689a25d6f6842ff,1,2,2,1079516,72166,-1,-1
c3b44fad904e45289689a25d6f6842ff,1,2,0,1079516,72166,-1,-1
c3b44fad904e45289689a25d6f6842ff,1,3,3,1079516,72166,-1,-1
c3b44fad904e45289689a25d6f6842ff,1,3,0,1079516,72166,-1,-1
c7f1fff498844470b9264747df560c6e,0,1,3,27720,27446,-1,-1
c7f1fff498844470b9264747df560c6e,0,1,2,27720,27446,-1,-1
c7f1fff498844470b9264747df560c6e,0,1,1,27720,27446,-1,-1
c7f1fff498844470b9264747df560c6e,0,1,0,27720,27446,-1,-1
c7f1fff498844470b9264747df560c6e,0,2,3,27720,27446,-1,-1
c7f1fff498844470b9264747df560c6e,0,2,2,27720,27446,-1,-1
c7f1fff498844470b9264747df560c6e,0,2,1,27720,27446,-1,-1
c7f1fff498844470b9264747df560c6e,0,3,3,27720,27446,-1,-1
c7f1fff498844470b9264747df560c6e,0,3,2,27720,27446,-1,-1
c7f1fff498844470b9264747df560c6e,0,3,1,27720,27446,-1,-1
404f3acd481e4d23bd810a88c949808e,0,1,3,78572,15790,-1,-1
404f3acd481e4d23bd810a88c949808e,0,1,2,78572,15790,-1,-1
404f3acd481e4d23bd810a88c949808e,0,1,1,78572,15790,-1,-1
404f3acd481e4d23bd810a88c949808e,0,2,3,78572,15790,-1,-1
404f3acd481e4d23bd810a88c949808e,0,2,2,78572,15790,-1,-1
404f3acd481e4d23bd810a88c949808e,0,2,1,78572,15790,-1,-1
404f3acd481e4d23bd810a88c949808e,0,3,3,78572,15790,-1,-1
404f3acd481e4d23bd810a88c949808e,0,3,0,78572,15790,-1,-1
ecbb71c6c2744d30825a234d7070aca1,1,1,3,470135,2288426,-1,-1
ecbb71c6c2744d30825a234d7070aca1,1,1,2,470135,2288426,-1,-1
ecbb71c6c2744d30825a234d7070aca1,1,1,0,470135,2288426,-1,-1
ecbb71c6c2744d30825a234d7070aca1,1,2,3,470135,2288426,-1,-1
ecbb71c6c2744d30825a234d7070aca1,1,2,2,470135,2288426,-1,-1
ecbb71c6c2744d30825a234d7070aca1,1,2,1,470135,2288426,-1,-1
ecbb71c6c2744d30825a234d7070aca1,1,3,3,470135,2288426,-1,-1
ecbb71c6c2744d30825a234d7070aca1,1,3,2,470135,2288426,-1,-1
ecbb71c6c2744d30825a234d7070aca1,1,3,1,470135,2288426,-1,-1
594c93d1ad344f94bd7e020b7a29f430,1,1,3,2103,1842,-1,-1
594c93d1ad344f94bd7e020b7a29f430,1,1,0,2103,1842,-1,-1
594c93d1ad344f94bd7e020b7a29f430,1,2,3,2103,1842,-1,-1
594c93d1ad344f94bd7e020b7a29f430,1,2,2,2103,1842,-1,-1
594c93d1ad344f94bd7e020b7a29f430,1,2,1,2103,1842,-1,-1
594c93d1ad344f94bd7e020b7a29f430,1,2,0,2103,1842,-1,-1
5f566114bf654915a639888969c3520e,1,1,3,1336,974,-1,-1
5f566114bf654915a639888969c3520e,1,1,0,1336,974,-1,-1
5f566114bf654915a639888969c3520e,1,2,3,1336,974,-1,-1
5f566114bf654915a639888969c3520e,1,2,0,1336,974,-1,-1
